,File Name,Category
0,0.jpg,Audrey Tautou
1,1.jpg,Adam Sandler
2,2.jpg,Anna Paquin
3,3.jpg,Ava Gardner
4,4.jpg,Amy Adams
5,5.jpg,Angelina Jolie
6,6.jpg,Bill Paxton
7,7.jpg,Alan Alda
8,8.jpg,Abigail Breslin
9,9.jpg,Alicia Vikander
10,10.jpg,Albert Finney
11,11.jpg,Aaron Judge
12,12.jpg,Beyonce Knowles
13,13.jpg,Beyonce Knowles
14,14.jpg,Andrew Lincoln
15,15.jpg,Armin Mueller-Stahl
16,16.jpg,Andy Murray
17,17.jpg,Amy Ryan
18,18.jpg,Alan Arkin
19,19.jpg,Adrien Brody
20,20.jpg,Analeigh Tipton
21,21.jpg,Amanda Bynes
22,22.jpg,Anne Bancroft
23,23.jpg,Amy Ryan
24,24.jpg,Albert Brooks
25,25.jpg,Barbra Streisand
26,26.jpg,Amanda Peet
27,27.jpg,bella thorne
28,28.jpg,Amanda Peet
29,29.jpg,Andy Samberg
30,30.jpg,Annette Bening
31,31.jpg,Anthony Perkins
32,32.jpg,Barbra Streisand
33,33.jpg,Anthony Perkins
34,34.jpg,Adrien Brody
35,35.jpg,Alice Eve
36,36.jpg,Berenice Bejo
37,37.jpg,Amanda Crew
38,38.jpg,AnnaSophia Robb
39,39.jpg,Anne Bancroft
40,40.jpg,Ava Gardner
41,41.jpg,Billy Bob Thornton
42,42.jpg,Aaron Paul
43,43.jpg,AnnaSophia Robb
44,44.jpg,Alan Rickman
45,45.jpg,Bella Hadid
46,46.jpg,Billy Bob Thornton
47,47.jpg,Arnold Schwarzenegger
48,48.jpg,Analeigh Tipton
49,49.jpg,Anjelica Huston
50,50.jpg,Anne Baxter
51,51.jpg,Betty White
52,52.jpg,Anna Paquin
53,53.jpg,Betty White
54,54.jpg,Adele
55,55.jpg,Ava Gardner
56,56.jpg,Art Carney
57,57.jpg,Amy Ryan
58,58.jpg,Adriana Barraza
59,59.jpg,Angelina Jolie
60,60.jpg,Billy Bob Thornton
61,61.jpg,Amy Adams
62,62.jpg,Alex Pettyfer
63,63.jpg,Alan Rickman
64,64.jpg,Barabara Palvin
65,65.jpg,Adam Sandler
66,66.jpg,Alessandra Ambrosio
67,67.jpg,Barabara Palvin
68,68.jpg,Andreea Diaconu
69,69.jpg,Al Roker
70,70.jpg,Ava Gardner
71,71.jpg,Alessandra Ambrosio
72,72.jpg,Barabara Palvin
73,73.jpg,Benedict Cumberbatch
74,74.jpg,Benedict Cumberbatch
75,75.jpg,Billy Bob Thornton
76,76.jpg,Annette Bening
77,77.jpg,Ben Kingsley
78,78.jpg,Annette Bening
79,79.jpg,Anne Hathaway
80,80.jpg,Anna Friel
81,81.jpg,Anna Friel
82,82.jpg,Billy Bob Thornton
83,83.jpg,Alx James
84,84.jpg,Andrew Garfield
85,85.jpg,Antonio Banderas
86,86.jpg,Ben Kingsley
87,87.jpg,Anna Kendrick
88,88.jpg,Barbra Streisand
89,89.jpg,Armin Mueller-Stahl
90,90.jpg,Berenice Bejo
91,91.jpg,Benedict Cumberbatch
92,92.jpg,Amanda Seyfried
93,93.jpg,Anthony Perkins
94,94.jpg,Alan Arkin
95,95.jpg,Anthony Mackie
96,96.jpg,Ali Larter
97,97.jpg,Alan Arkin
98,98.jpg,Bill Daley
99,99.jpg,Armin Mueller-Stahl
100,100.jpg,Adam Sandler
101,101.jpg,Ben Johnson
102,102.jpg,Amber Heard
103,103.jpg,Benedict Cumberbatch
104,104.jpg,Anderson Cooper
105,105.jpg,Al Roker
106,106.jpg,Alexander Skarsgard
107,107.jpg,Ben Johnson
108,108.jpg,Anna Kendrick
109,109.jpg,Adrien Brody
110,110.jpg,Arnold Schwarzenegger
111,111.jpg,Anna Kendrick
112,112.jpg,Barry Pepper
113,113.jpg,Ali Larter
114,114.jpg,Anna Paquin
115,115.jpg,Betty White
116,116.jpg,Anjelica Huston
117,117.jpg,Bernie Mac
118,118.jpg,Bill Daley
119,119.jpg,Alec Baldwin
120,120.jpg,Benedict Cumberbatch
121,121.jpg,Alice Eve
122,122.jpg,Anne Hathaway
123,123.jpg,Amy Ryan
124,124.jpg,Alessandra Ambrosio
125,125.jpg,Adriana Lima
126,126.jpg,Aaron Taylor-Johnson
127,127.jpg,Ashley Judd
128,128.jpg,Anne Hathaway
129,129.jpg,Bette Midler
130,130.jpg,Ashley Greene
131,131.jpg,Barbra Streisand
132,132.jpg,Alan Rickman
133,133.jpg,Betty White
